,kmeans7,Year,Median,BN
0,0,1950,27.078787787878788,3.1305454545454547
1,0,1955,27.46969712121212,3.1361212121212123
2,0,1960,27.75151512121212,3.0233636363636363
3,0,1965,28.10000015151515,2.7716363636363637
4,0,1970,28.842423999999998,2.5267878787878786
5,0,1975,29.384848303030303,2.340333333333333
6,0,1980,30.272727,2.1686666666666667
7,0,1985,31.351515030303027,2.0636060606060607
8,0,1990,32.66363612121212,1.9326363636363637
9,0,1995,34.090908999999996,1.739939393939394
10,0,2000,35.539394151515154,1.5992121212121213
11,0,2005,36.96363596969697,1.616121212121212
12,0,2010,38.257575696969695,1.666909090909091
13,0,2015,39.54545454545455,1.645
14,0,2020,40.85454557575758,1.6274545454545455
15,1,1950,19.134210368421055,6.685052631578948
16,1,1955,18.736842105263158,6.761526315789474
17,1,1960,18.213157815789476,6.83571052631579
18,1,1965,17.502631368421053,6.830078947368421
19,1,1970,17.207894605263157,6.690473684210526
20,1,1975,17.21315789473684,6.487157894736842
21,1,1980,17.365789499999998,6.252263157894737
22,1,1985,17.621052631578948,5.813315789473684
23,1,1990,18.021052710526316,5.172657894736842
24,1,1995,18.594736842105263,4.4906578947368425
25,1,2000,19.457894736842103,3.876973684210526
26,1,2005,20.744736736842103,3.4764210526315784
27,1,2010,22.171052657894737,3.2346315789473685
28,1,2015,23.513158,3.015421052631579
29,1,2020,24.902631605263156,2.805947368421053
30,2,1950,23.63333353333333,4.959533333333334
31,2,1955,23.046666466666668,5.042066666666667
32,2,1960,22.17999993333333,5.224266666666667
33,2,1965,21.026666733333332,5.1895999999999995
34,2,1970,20.4000002,4.8298000000000005
35,2,1975,20.71999986666667,4.254466666666667
36,2,1980,21.6533334,3.7366
37,2,1985,22.586666466666667,3.5024
38,2,1990,23.486666666666668,3.2744666666666666
39,2,1995,24.539999933333334,2.9566666666666666
40,2,2000,25.699999666666667,2.682733333333333
41,2,2005,26.806666733333333,2.5769333333333333
42,2,2010,28.200000066666668,2.5955333333333335
43,2,2015,29.339999466666665,2.5818000000000003
44,2,2020,30.719999933333334,2.4879333333333333
45,3,1950,19.746938673469387,6.598857142857143
46,3,1955,19.289795959183675,6.622061224489796
47,3,1960,18.85918367346939,6.715693877551021
48,3,1965,18.33265314285714,6.83273469387755
49,3,1970,17.877551142857143,6.919938775510204
50,3,1975,17.49591836734694,6.960122448979591
51,3,1980,17.22040808163265,6.93169387755102
52,3,1985,16.96734693877551,6.811326530612245
53,3,1990,16.883673346938775,6.563224489795918
54,3,1995,17.07346942857143,6.258632653061224
55,3,2000,17.165306142857144,5.973673469387755
56,3,2005,17.448979448979593,5.671897959183673
57,3,2010,17.755102020408163,5.316102040816326
58,3,2015,18.120408102040816,4.914326530612245
59,3,2020,18.697959204081634,4.5273877551020405
60,4,1950,19.99302334883721,6.255279069767441
61,4,1955,19.548837162790697,6.46286046511628
62,4,1960,18.813953488372093,6.543883720930233
63,4,1965,18.002325604651162,6.339418604651163
64,4,1970,17.900000186046512,5.86253488372093
65,4,1975,18.47441848837209,5.26253488372093
66,4,1980,19.423255767441862,4.6773953488372095
67,4,1985,20.467441906976745,4.154720930232558
68,4,1990,21.453488441860465,3.6038372093023257
69,4,1995,22.613953441860463,3.089186046511628
70,4,2000,23.95116269767442,2.696255813953488
71,4,2005,25.441860395348836,2.4364418604651163
72,4,2010,27.109302209302324,2.3120232558139535
73,4,2015,28.809302372093022,2.232720930232558
74,4,2020,30.432558255813955,2.131046511627907
75,5,1950,21.15000003846154,5.129307692307692
76,5,1955,20.75769230769231,5.1145000000000005
77,5,1960,20.180769269230773,4.998615384615385
78,5,1965,19.68076930769231,4.5415
79,5,1970,20.23076926923077,3.8148076923076926
80,5,1975,21.29615380769231,3.0316538461538465
81,5,1980,23.330769307692307,2.4783846153846154
82,5,1985,25.21153803846154,2.287153846153846
83,5,1990,27.296153615384615,2.120461538461538
84,5,1995,29.596153846153847,1.9112307692307693
85,5,2000,31.896153615384613,1.7451153846153846
86,5,2005,33.942308153846156,1.6783846153846154
87,5,2010,36.061538999999996,1.6673076923076924
88,5,2015,38.00384626923077,1.6326923076923079
89,5,2020,39.723077076923076,1.5946153846153845
90,6,1950,32.794444666666664,2.3304444444444443
91,6,1955,33.033333222222225,2.3453333333333335
92,6,1960,33.766666666666666,2.4283888888888887
93,6,1965,33.861110555555555,2.4092777777777776
94,6,1970,33.755555722222226,2.181611111111111
95,6,1975,33.85000077777778,1.9114999999999998
96,6,1980,34.43333327777778,1.7404444444444445
97,6,1985,35.39444405555556,1.7133888888888889
98,6,1990,36.19444472222222,1.693
99,6,1995,37.1000005,1.5622222222222222
100,6,2000,38.383333444444446,1.4819444444444445
101,6,2005,39.711110777777776,1.571888888888889
102,6,2010,40.82777761111111,1.6413333333333333
103,6,2015,41.92777838888889,1.6253333333333333
104,6,2020,42.90555577777778,1.6337222222222223
