,MDS_x,MDS_y,Entity,Code,Continent,tsne_x,tsne_y,scluster6,kmeans6
1710,-5.628892093787278,1.2882840993777203,Madagascar,MDG,Africa,-10.180722,-8.330017,4,4
1725,-6.713844640598862,1.1057783474816973,Malawi,MWI,Africa,-12.299729,-8.899134,4,4
1740,-0.04778603947017724,2.147595357237239,Malaysia,MYS,Asia,2.9512796,-0.24340771,0,2
1755,-2.197229030034516,3.9842871217803664,Maldives,MDV,Asia,0.04305033,-6.0387926,0,0
1770,-7.750831998106077,-0.9518013949244797,Mali,MLI,Africa,-14.266017,-11.32673,4,4
1785,6.31233064369712,-1.1818748563727857,Malta,MLT,Europe,10.399641,11.946044,2,1
1800,4.207446594201033,2.014404084152176,Martinique,MTQ,North America,5.797909,7.7859507,3,3
1815,-5.465582151944942,0.6199163443219862,Mauritania,MRT,Africa,-10.210801,-9.802826,4,4
1830,2.7429806957298406,2.848629854816577,Mauritius,MUS,Africa,4.4338503,5.701122,3,3
1845,-5.742413925648468,3.4175206669618743,Mayotte,MYT,Africa,-9.515918,-6.8665257,4,4
1860,-0.9773859663349699,3.046133102795882,Mexico,MEX,North America,1.6587497,-2.9318628,0,2
1875,-3.759249759024604,2.286070953501731,Micronesia (country),FSM,Oceania,-4.09351,-6.6762447,0,0
1890,-6.711617070246294,-1.0848469787195871,Middle Africa,,,-12.947396,-11.954312,4,4
1905,4.849295352045095,-2.3360820440195535,Moldova,MDA,Europe,11.240823,10.996715,2,1
1920,-1.684177299976448,-0.1532573546077406,Mongolia,MNG,Asia,-1.6894193,-0.090958305,0,2
1935,4.743144858839945,-0.8574098730001124,Montenegro,MNE,Europe,9.0171995,9.187448,3,3
1950,-1.4270671473826795,2.7312143039241974,Morocco,MAR,Africa,0.7838012,-3.64714,0,2
1965,-6.031868520677198,-0.05950934726620826,Mozambique,MOZ,Africa,-11.488246,-10.878826,4,4
