country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster6,kmeans6,ms
Chile,55-74 years,male,-2.721028085749746,-4.074465919695265,-9.858508,-7.2603045,4,3,4
Chile,75+ years,female,3.3635578342152015,-3.167050579989376,17.220112,-41.423676,4,1,0
Chile,75+ years,male,-5.446245289240378,-4.599142524750803,7.4370155,17.27113,4,3,8
Colombia,15-24 years,female,2.893687847215816,-4.320629577733708,35.784935,-33.42264,4,1,0
Colombia,15-24 years,male,1.0425011943374218,-4.610117552140311,8.614941,-10.355759,4,1,0
Colombia,25-34 years,female,3.604870799480426,-4.206591516928231,42.11772,-34.142776,4,1,0
Colombia,25-34 years,male,1.2640137003911038,-4.5791355783518775,9.070796,-10.696259,4,1,0
Colombia,35-54 years,female,3.8420473698564135,-4.167487485673771,43.70109,-35.512203,4,1,0
Colombia,35-54 years,male,1.8941818319746546,-4.468123395097392,15.552917,-11.825118,4,1,0
Colombia,5-14 years,female,4.0131732150979715,-4.141329999640486,44.95324,-37.284008,4,1,0
Colombia,5-14 years,male,4.010045640034821,-4.141626020109833,44.357113,-37.038113,4,1,0
Colombia,55-74 years,female,3.921835769569941,-4.1546532373745455,44.32793,-36.025375,4,1,0
Colombia,55-74 years,male,1.131924444829476,-4.595356720774471,9.109483,-10.00922,4,1,0
Colombia,75+ years,female,4.020033741680594,-4.13895366497155,45.325825,-36.630386,4,1,0
Colombia,75+ years,male,-0.3490806126150277,-4.851022225813515,-1.8927016,-0.7102099,4,3,4
Czech Republic,15-24 years,female,3.2081598038102537,-2.313047471395458,-44.71057,-18.664726,4,1,0
Czech Republic,15-24 years,male,-0.2327574751413978,-2.838217335483235,0.43643838,-8.921024,4,3,4
Czech Republic,25-34 years,female,3.019531096648314,-2.3404647840948662,-44.460625,-18.892797,4,1,0
Czech Republic,25-34 years,male,-2.070604769926029,-3.1037971192706957,-10.077116,-6.145439,4,3,4
Czech Republic,35-54 years,female,2.016596167587722,-2.4951361422978704,-20.510933,-37.616806,4,1,0
Czech Republic,35-54 years,male,-5.285456348001421,-3.6028586722309104,9.042934,16.481606,4,3,8
Czech Republic,5-14 years,female,3.913337675560905,-2.2128680225208512,-45.853603,-17.576857,4,1,0
Czech Republic,5-14 years,male,3.8130708999047767,-2.227079934288834,-45.713226,-17.714241,4,1,0
Czech Republic,55-74 years,female,1.7148494066690652,-2.538668974098566,-20.326782,-37.69285,4,1,0
Czech Republic,55-74 years,male,-5.12620854608132,-3.576053915785849,8.907079,16.915318,4,3,8
Czech Republic,75+ years,female,0.052874198748300585,-2.8211693705857983,0.8451632,-8.667733,4,3,4
Czech Republic,75+ years,male,-13.467168448606714,-5.023821028174011,34.044468,19.777983,3,2,22
Ecuador,15-24 years,female,2.0503426286690347,-4.619178204774392,16.289892,-10.635527,4,1,0
Ecuador,15-24 years,male,0.7781416046576923,-4.849721940348996,13.132728,-7.107264,4,1,4
Ecuador,25-34 years,female,3.1971577375083493,-4.4270666336973745,38.406757,-32.72708,4,1,0
Ecuador,25-34 years,male,0.9698007832166243,-4.81939605414537,13.418377,-7.2804127,4,1,0
Ecuador,35-54 years,female,3.66056454895794,-4.358872508611298,41.765007,-32.063732,4,1,0
Ecuador,35-54 years,male,1.6810466622829585,-4.691022746469904,15.230806,-9.562742,4,1,0
Ecuador,5-14 years,female,3.8905500752589552,-4.320169129631747,43.77288,-31.46619,4,1,0
Ecuador,5-14 years,male,3.852987126742868,-4.327851458048641,43.606476,-31.76663,4,1,0
Ecuador,55-74 years,female,3.7557991565449105,-4.346635605309073,42.281666,-31.78185,4,1,0
Ecuador,55-74 years,male,1.4408386816660463,-4.766701608604232,14.588939,-8.637526,4,1,0
Ecuador,75+ years,female,3.823424836902081,-4.339918562322282,43.495438,-30.10492,4,1,0
Ecuador,75+ years,male,0.725070693524447,-4.94005754522579,13.074409,-5.879615,4,1,0
Finland,15-24 years,female,0.9279539878172051,3.25155053591627,-22.368027,49.052925,4,0,1
Finland,15-24 years,male,-4.671526243311714,2.348187050863302,8.73797,45.896965,4,4,3
Finland,25-34 years,female,0.2965874831092249,3.154945034375398,-18.897858,48.695515,4,0,1
Finland,25-34 years,male,-7.343236544126738,2.0040607864121953,18.906094,38.897335,4,4,5
Finland,35-54 years,female,-0.5636145844610393,3.0214599747774677,-9.622535,47.872574,4,0,1
Finland,35-54 years,male,-8.73516539328946,1.7198909839930951,20.448328,38.658127,4,4,5
Finland,5-14 years,female,3.027127898230309,3.549490775286903,-46.33979,36.17775,4,0,1
Finland,5-14 years,male,2.9276463447808703,3.5361781957887137,-46.448795,35.941257,4,0,1
Finland,55-74 years,female,-0.22252695549910645,3.071808135020697,-9.85823,47.547737,4,0,1
Finland,55-74 years,male,-7.145348181241268,1.9966548001022535,18.656788,39.28489,4,4,5
Finland,75+ years,female,1.2227383096484425,3.294990515482742,-23.03319,50.33529,4,0,1
Finland,75+ years,male,-8.525803234645899,1.8029832371610561,20.16147,37.686275,4,4,5
Germany,15-24 years,female,2.3719322190969834,3.0457561054296214,-36.60733,35.137894,4,0,1
Germany,15-24 years,male,0.20989255267803503,2.726660076676157,-18.875347,52.074574,4,0,1
Germany,25-34 years,female,2.071335871543849,3.003529239850701,-36.181602,35.376297,4,0,1
Germany,25-34 years,male,-1.1492063788239302,2.516836176357183,-3.3013587,46.49587,4,0,10
Germany,35-54 years,female,1.2163815502927744,2.8818198621521405,-21.091665,51.22832,4,0,1
Germany,35-54 years,male,-3.0387269367770076,2.215034452918645,3.7974052,46.47587,4,4,3
Germany,5-14 years,female,3.1508816622170364,3.152752077537409,-42.878754,33.163605,4,0,1
Germany,5-14 years,male,3.087138150108118,3.143054479593799,-42.664402,33.377132,4,0,1
Germany,55-74 years,female,0.4885217432994124,2.77197932969255,-19.278875,51.878044,4,0,1
Germany,55-74 years,male,-4.212682451776244,2.028458761794635,7.274569,45.231445,4,4,3
Germany,75+ years,female,-1.1770946280114223,2.50928246400269,-2.9251132,46.250156,4,0,10
Germany,75+ years,male,-12.301970499064398,0.9189507843291167,24.584436,34.0537,2,4,15
Greece,15-24 years,female,3.5114267948670324,-0.57171911435094,-47.188473,-36.208096,4,1,2
Greece,15-24 years,male,2.755263181068096,-0.6802951510211233,-43.418587,-36.348835,4,1,2
Greece,25-34 years,female,3.2858834887137154,-0.6045215919470169,-45.720997,-35.87218,4,1,2
Greece,25-34 years,male,1.983556267578264,-0.7906925280465136,-24.776295,-35.590843,4,1,2
Greece,35-54 years,female,3.270384175423726,-0.6073485230538954,-45.617165,-36.552574,4,1,2
Greece,35-54 years,male,1.5986628483860787,-0.847786225361701,-25.05754,-34.870544,4,1,2
Greece,5-14 years,female,3.721248615018022,-0.5423797736566143,-48.09964,-35.780746,4,1,2
Greece,5-14 years,male,3.711716003992451,-0.5437428598973236,-48.123306,-36.390137,4,1,2
Greece,55-74 years,female,3.2161152685087506,-0.6138144012358,-44.962402,-35.830467,4,1,2
Greece,55-74 years,male,1.3343887659212232,-0.8812808311749393,-25.11927,-34.371925,4,1,2
Greece,75+ years,female,3.135239735684423,-0.62638886035359,-44.618088,-36.86861,4,1,2
Greece,75+ years,male,0.23288359842461104,-1.0351189429971035,-20.364439,-30.813972,4,1,2
Guatemala,15-24 years,female,3.5146282080050315,-4.636268071265624,44.674953,-22.994963,4,1,0
Guatemala,15-24 years,male,2.7333694602079777,-4.763079169548425,33.25393,-11.9356365,4,1,0
Guatemala,25-34 years,female,3.923766453004332,-4.562547535927099,46.402115,-22.53004,4,1,0
Guatemala,25-34 years,male,2.5718735266368142,-4.771214797637759,32.256523,-11.971945,4,1,0
Guatemala,35-54 years,female,4.030664766105735,-4.541665236426095,47.25703,-21.978245,4,1,0
Guatemala,35-54 years,male,2.5959798802968277,-4.791122268992805,32.374847,-11.314926,4,1,0
Guatemala,5-14 years,female,4.225508240944185,-4.5060270687425135,47.90667,-20.671358,4,1,0
Guatemala,5-14 years,male,4.248194511283019,-4.503162591387869,48.44714,-20.637674,4,1,0
Guatemala,55-74 years,female,4.1403404675712325,-4.522965168736629,48.242798,-21.442558,4,1,0
Guatemala,55-74 years,male,2.787348288717759,-4.753032072827448,33.299004,-11.3367195,4,1,0
Guatemala,75+ years,female,4.157055565806414,-4.532873465208598,49.563473,-21.574272,4,1,0
Guatemala,75+ years,male,2.462180946231691,-4.8315821632142475,30.944902,-11.693686,4,1,0
Iceland,15-24 years,female,2.2124422510912365,5.01705568760761,-37.68504,47.591667,4,0,1
Iceland,15-24 years,male,-3.724014177363532,4.61530809343611,8.879439,55.2701,4,4,48
Iceland,25-34 years,female,1.098727399949312,4.971606869019538,-35.41349,47.56574,4,0,1
Iceland,25-34 years,male,-5.364006256025955,4.220899816512816,3.3128395,59.758972,4,4,32
Iceland,35-54 years,female,0.6184486715177205,4.883210648898297,-34.126907,48.37534,4,0,1
Iceland,35-54 years,male,-3.575748859724808,4.1928766236613795,7.834249,55.608986,4,4,50
Iceland,5-14 years,female,3.2000156357131613,5.051328149074877,-39.10562,47.45583,4,0,1
Iceland,5-14 years,male,3.0324848557759636,5.046554723372912,-38.975403,47.47167,4,0,1
Iceland,55-74 years,female,0.04310088440309396,4.904265413610914,-33.298058,48.865387,4,0,1
Iceland,55-74 years,male,-3.849023708112781,4.2643854442751,4.7676487,54.279083,4,4,41
Iceland,75+ years,female,1.7473378761809644,5.394813621838575,-35.287758,46.476364,4,0,52
Iceland,75+ years,male,-5.227334781271449,5.767220490698374,7.6356864,57.05538,4,4,54
Israel,15-24 years,female,2.9603300771166388,1.0378122754458345,-13.979372,-66.286964,4,0,2
Israel,15-24 years,male,0.8755130160657993,0.7220903286848417,-15.255413,-51.052,4,0,2
Israel,25-34 years,female,2.824883576334255,1.018121260730075,-14.800167,-66.184746,4,0,2
Israel,25-34 years,male,0.5647227300146894,0.6735673450361132,-14.783776,-50.545357,4,0,2
Israel,35-54 years,female,2.6401999480358755,0.990117039334998,-14.418521,-65.404785,4,0,2
Israel,35-54 years,male,0.023661783907280187,0.5928174405249269,-14.061972,-49.786987,4,0,2
Israel,5-14 years,female,3.472602726829194,1.1094884002219259,-13.5299225,-67.48919,4,0,2
Israel,5-14 years,male,3.3932421449634744,1.0991939358200407,-14.0404215,-67.49141,4,0,2
Israel,55-74 years,female,2.2979286160381105,0.9412751564623576,-15.015003,-64.847404,4,0,2
Israel,55-74 years,male,-0.5225056348693669,0.5121712604495731,-13.487822,-49.23543,4,0,2
Israel,75+ years,female,1.2243870000700978,0.8083138087290327,-15.941308,-51.83973,4,0,2
Israel,75+ years,male,-4.136748822553571,-0.04717198370406359,8.899238,41.67969,4,4,33
Italy,15-24 years,female,2.943740940420089,1.6925879831877328,-5.1443214,-59.17792,4,0,2
Italy,15-24 years,male,1.7102229679257344,1.510519684789431,-7.1664248,-55.615215,4,0,2
Italy,25-34 years,female,2.7097144935586357,1.6586137193521742,-5.473134,-58.450264,4,0,2
Italy,25-34 years,male,0.7299744471903636,1.3681901191763728,-9.978381,-51.061337,4,0,2
Italy,35-54 years,female,2.3576888615307454,1.6061015120348154,-5.983396,-57.397865,4,0,2
Italy,35-54 years,male,0.13937066027516973,1.2805262611786572,-10.23669,-50.474804,4,0,2
Italy,5-14 years,female,3.321368234891298,1.745712713714946,-5.0343027,-60.192776,4,0,2
Italy,5-14 years,male,3.2912357309713642,1.741627838468226,-4.520665,-59.917824,4,0,2
Italy,55-74 years,female,2.032333806567778,1.5577502769550202,-6.5259337,-56.418407,4,0,2
Italy,55-74 years,male,-0.9296395394756302,1.1178734399840886,-10.548662,-49.469612,4,0,3
Italy,75+ years,female,1.810772152706639,1.5270570005906896,-6.525809,-55.555027,4,0,2
Italy,75+ years,male,-5.235452958980896,0.43623123008447673,9.77262,42.04013,4,4,30
Japan,15-24 years,female,0.7754889819319186,4.411013626847356,-7.822259,69.3225,4,0,10
Japan,15-24 years,male,-2.2299695956539196,3.9188435566566437,-5.311326,68.66269,4,0,10
Japan,25-34 years,female,-0.6973813743859537,4.168075134856649,-6.9823956,69.00061,4,0,10
Japan,25-34 years,male,-5.42709302992948,3.2552712845778164,5.5646963,59.441345,4,4,45
Japan,35-54 years,female,-0.9544951964223989,4.106563240989283,-6.56028,68.78197,4,0,10
Japan,35-54 years,male,-8.93407697730645,2.7506260543708483,19.285257,32.50066,4,4,12
Japan,5-14 years,female,3.567559141933362,4.582902041545464,-40.901012,26.608242,4,0,17
Japan,5-14 years,male,3.471820972209014,4.576797565544744,-40.90119,26.612926,4,0,17
Japan,55-74 years,female,-2.0989159257378622,3.8551509319254156,-5.231271,67.92922,4,0,10
Japan,55-74 years,male,-10.171542542229538,2.5185177662283023,19.704504,32.636116,4,4,12
Japan,75+ years,female,-4.200000641964202,3.3660488459737232,-4.214028,66.70952,4,4,35
Japan,75+ years,male,-9.874478442933043,2.562736965861433,20.222288,32.99503,4,4,12
Kazakhstan,15-24 years,female,0.9948457176567277,-4.4599050566217455,9.397915,-15.557683,4,1,0
Kazakhstan,15-24 years,male,-6.629797668047623,-5.707907013826178,9.37046,12.958871,4,3,16
Kazakhstan,25-34 years,female,1.428678338756145,-4.391533170316081,10.089976,-16.155981,4,1,0
Kazakhstan,25-34 years,male,-13.69202508215362,-7.121954619619758,32.109024,21.221867,3,2,24
Kazakhstan,35-54 years,female,1.6570092819417772,-4.357652948721479,11.035906,-16.89796,4,1,0
Kazakhstan,35-54 years,male,-14.329184914767687,-7.136989973132317,33.577793,21.322943,3,2,14
Kazakhstan,5-14 years,female,3.8899824887989,-3.9984078107644145,38.477104,-42.161324,4,1,0
Kazakhstan,5-14 years,male,3.1411878876349406,-4.150194115724679,36.210594,-35.81868,4,1,0
Kazakhstan,55-74 years,female,1.3351550724030936,-4.466034069651064,10.983417,-19.990885,4,1,0
Kazakhstan,55-74 years,male,-13.001689265734084,-7.196128400951003,34.751812,21.055387,3,2,23
Kazakhstan,75+ years,female,-1.1421383017912816,-4.832746996930462,-3.729175,0.48361892,4,3,4
Kazakhstan,75+ years,male,-12.594003906394013,-6.944909384726575,32.56925,20.009474,3,2,21
Kyrgyzstan,15-24 years,female,2.831640632320568,-5.2161192384390445,36.208763,-13.468229,4,1,0
Kyrgyzstan,15-24 years,male,0.12964724351803475,-5.667197308323856,-0.6826528,-1.809913,4,3,4
Kyrgyzstan,25-34 years,female,3.24458282635058,-5.13932512014749,37.61628,-14.132717,4,1,0
Kyrgyzstan,25-34 years,male,-2.1124298122836165,-5.999643263363628,-4.672364,5.352394,4,3,4
Kyrgyzstan,35-54 years,female,3.0667506068594483,-5.165704116635979,37.106033,-14.324279,4,1,0
Kyrgyzstan,35-54 years,male,-3.2750975673786584,-6.21167443698783,-5.1086216,6.5616584,4,3,28
Kyrgyzstan,5-14 years,female,4.173007011100065,-4.974175114987234,46.164455,-19.784845,4,1,0
Kyrgyzstan,5-14 years,male,3.6986417213942437,-5.056104943543191,44.63297,-20.054024,4,1,0
Kyrgyzstan,55-74 years,female,2.904999537682729,-5.23969181394154,37.026123,-15.217795,4,1,0
Kyrgyzstan,55-74 years,male,-3.2458563922590993,-6.417061862222856,-5.4106755,6.9888816,4,3,28
Kyrgyzstan,75+ years,female,1.6373165601894397,-5.597752026629089,17.595253,-10.386892,4,1,0
Kyrgyzstan,75+ years,male,-2.3810605172411505,-6.428337817052113,-3.6847396,6.845409,4,3,28
Luxembourg,15-24 years,female,0.9082915589765239,13.301641635162818,49.449776,45.815826,5,5,11
Luxembourg,15-24 years,male,-1.9976656207147023,13.00330037509164,50.396492,42.930626,5,5,44
Luxembourg,25-34 years,female,0.3689091675972298,13.270182503824408,50.26527,46.02163,5,5,11
Luxembourg,25-34 years,male,-2.782064007014784,12.88843326399519,51.832817,41.87818,5,5,42
Luxembourg,35-54 years,female,-0.577391230423585,13.126351087261641,50.14556,44.277153,5,5,51
Luxembourg,35-54 years,male,-5.259432401785516,12.489799225958773,52.491264,40.09187,5,5,38
Luxembourg,5-14 years,female,1.6011682325018792,13.37701124644652,48.8996,46.57756,5,5,11
Luxembourg,5-14 years,male,1.655101058158016,13.377043553166926,49.3735,46.856968,5,5,11
Luxembourg,55-74 years,female,-1.5980230987692976,13.042331064302475,51.650784,42.98742,5,5,53
Luxembourg,55-74 years,male,-6.440819808344726,12.57083591966224,52.82498,39.419796,5,5,36
Luxembourg,75+ years,female,-1.420043258678072,13.094480009565938,52.130627,43.231895,5,5,46
Luxembourg,75+ years,male,-13.691887973885494,11.851047787959647,52.968056,38.261242,4,4,26
Malta,15-24 years,female,3.456083416336204,-1.4039695885885435,-57.656914,-17.547762,4,1,2
Malta,15-24 years,male,1.9539220498309102,-1.608605216686496,-22.521725,-36.63654,4,1,2
Malta,25-34 years,female,3.105553307852633,-1.444411893004639,-56.59504,-18.887388,4,1,2
Malta,25-34 years,male,0.329983252814593,-1.8954228685681376,-25.722317,-29.162704,4,1,2
Malta,35-54 years,female,3.008709695727751,-1.469841705112683,-58.498947,-19.459885,4,1,2
Malta,35-54 years,male,-0.4837163638981235,-1.9976374053379407,-22.937737,-24.895496,4,3,4
Malta,5-14 years,female,3.750578055682271,-1.3618436071271764,-56.952423,-16.65773,4,1,2
Malta,5-14 years,male,3.769828189634524,-1.3581793470386303,-56.460182,-16.279652,4,1,2
Malta,55-74 years,female,3.1516109803210215,-1.4507932765915477,-58.26462,-18.990957,4,1,2
Malta,55-74 years,male,0.7670517461463523,-1.804779561648387,-24.691235,-28.984695,4,1,2
Malta,75+ years,female,3.36624133209926,-1.4149250418887622,-59.454647,-17.761654,4,1,2
Malta,75+ years,male,-1.7006716113366478,-2.367370274457483,-24.04649,-24.338758,4,3,55
Mauritius,15-24 years,female,1.792645238493814,-4.063978068864051,14.84862,-13.542477,4,1,0
Mauritius,15-24 years,male,-0.24081032092645532,-4.420441737527935,-3.5128467,-2.9917116,4,3,4
Mauritius,25-34 years,female,2.125975225246909,-4.032149258821168,15.719575,-14.261038,4,1,0
Mauritius,25-34 years,male,-3.0092297631673244,-4.818672197166065,-6.5985165,3.7092867,4,3,4
Mauritius,35-54 years,female,2.9589156880445366,-3.8627313757934263,33.22007,-34.31166,4,1,0
Mauritius,35-54 years,male,-2.2668695024083254,-4.717048610786518,-6.5142603,3.4573064,4,3,4
Mauritius,5-14 years,female,3.9151977966464755,-3.6919657252664537,29.437681,-43.749268,4,1,0
Mauritius,5-14 years,male,4.07715859823288,-3.675035765916685,29.02003,-44.154568,4,1,0
Mauritius,55-74 years,female,3.095599297086562,-3.8415736447682076,32.180878,-34.80554,4,1,0
Mauritius,55-74 years,male,-0.5359126866065633,-4.521395646873511,-1.6120385,-3.7432613,4,3,4
